tag_id,tag_string
2432118,00251C76
2432025,00251C19
2431953,00251BD1
2428377,00250DD9
2428291,00250D83
2432119,00251C77
2420328,0024EE68
2423372,0024FA4C
2428776,00250F68
2428791,00250F77
2421834,0024F44A
2432652,00251E8C
2417195,0024E22B
2428931,00251003
2421774,0024F40E
2427608,00250AD8
2427849,00250BC9
2433166,0025208E
2427726,00250B4E
2423369,0024FA49
2428758,00250F56
2428754,00250F52
2421765,0024F405
2421861,0024F465
2428774,00250F66
2225615,0021F5CF
2433119,0025205F
2421828,0024F444
2428782,00250F6E
2423346,0024FA32
2427564,00250AAC
2428913,00250FF1
2426253,0025058D
2426209,00250561
2427614,00250ADE
2432023,00251C17
2225588,0021F5B4
2432127,00251C7F
2225648,0021F5F0
2428880,00250FD0
2428278,00250D76
2428125,00250CDD
2421874,0024F472
2428902,00250FE6
2225645,0021F5ED
2423378,0024FA52
2428879,00250FCF
2428714,00250F2A
2428760,00250F58
2423363,0024FA43
2426271,0025059F
2428877,00250FCD
2427443,00250A33
2421705,0024F3C9
2426267,0025059B
2417169,0024E211
2423335,0024FA27
2428503,00250E57
2428289,00250D81
2428709,00250F25
2432136,00251C88
2428179,00250D13
2427599,00250ACF
2203669,0021A015
2428712,00250F28
2426227,00250573
2423393,0024FA61
2428894,00250FDE
2432087,00251C57
2428889,00250FD9
2426245,00250585
2421788,0024F41C
2428793,00250F79
2427594,00250ACA
2428898,00250FE2
2427905,00250C01
2428176,00250D10
2423364,0024FA44
2428789,00250F75
2405385,0024B409
2427555,00250AA3
2426248,00250588
2417171,0024E213
2428398,00250DEE
2432129,00251C81
2428724,00250F34
2426226,00250572
2426262,00250596
2231631,00220D4F
2428905,00250FE9
2426247,00250587
2427458,00250A42
2428390,00250DE6
2417161,0024E209
2428746,00250F4A
2432048,00251C30
2432089,00251C59
2423380,0024FA54
2427567,00250AAF
2432098,00251C62
2428094,00250CBE
2421792,0024F420
2225534,0021F57E
2432680,00251EA8
2428739,00250F43
2428292,00250D84
2426250,0025058A
2423355,0024FA3B
2420902,0024F0A6
2417246,0024E25E
2427595,00250ACB
2433111,00252057
2421000,0024F108
2427565,00250AAD
2428711,00250F27
2432061,00251C3D
2428309,00250D95
2427958,00250C36
2417272,0024E278
2428364,00250DCC
2417214,0024E23E
2428706,00250F22
2421495,0024F2F7
2420330,0024EE6A
2432144,00251C90
2423356,0024FA3C
2428890,00250FDA
2428742,00250F46
2431954,00251BD2
2428904,00250FE8
2432660,00251E94
2427447,00250A37
2421797,0024F425
2428672,00250F00
2433128,00252068
2428385,00250DE1
2427728,00250B50
2427445,00250A35
2428072,00250CA8
2428891,00250FDB
2423375,0024FA4F
2428734,00250F3E
2428310,00250D96
2428861,00250FBD
2428080,00250CB0
2428323,00250DA3
2225549,0021F58D
2426290,002505B2
2421875,0024F473
2428044,00250C8C
2427898,00250BFA
2428764,00250F5C
2420476,0024EEFC
2421815,0024F437
2428863,00250FBF
2427703,00250B37
2417204,0024E234
2428747,00250F4B
2421804,0024F42C
2432139,00251C8B
2433148,0025207C
2428348,00250DBC
2427883,00250BEB
2428331,00250DAB
2428091,00250CBB
2423349,0024FA35
2427878,00250BE6
2433132,0025206C
2427590,00250AC6
2433123,00252063
2225426,0021F512
2420163,0024EDC3
2433142,00252076
2428315,00250D9B
2428386,00250DE2
2427616,00250AE0
2421900,0024F48C
2432656,00251E90
2427729,00250B51
2428773,00250F65
2428893,00250FDD
2432674,00251EA2
2427562,00250AAA
2428068,00250CA4
2428796,00250F7C
2432152,00251C98
2433107,00252053
2433150,0025207E
2421869,0024F46D
2432033,00251C21
2432013,00251C0D
2428864,00250FC0
2420450,0024EEE2
2428692,00250F14
2428763,00250F5B
2427725,00250B4D
2428062,00250C9E
2423352,0024FA38
2426393,00250619
2417175,0024E217
2428744,00250F48
2225414,0021F506
2426270,0025059E
2428056,00250C98
2427580,00250ABC
2428865,00250FC1
2427465,00250A49
2428885,00250FD5
2426240,00250580
2427737,00250B59
2428788,00250F74
2428867,00250FC3
2428732,00250F3C
2433164,0025208C
2432668,00251E9C
2428064,00250CA0
2423387,0024FA5B
2431936,00251BC0
2428745,00250F49
2421773,0024F40D
2428778,00250F6A
2427559,00250AA7
2428721,00250F31
2427540,00250A94
2427576,00250AB8
2423344,0024FA30
2431975,00251BE7
2423347,0024FA33
2420290,0024EE42
2432057,00251C39
2421001,0024F109
